# Generated by tools/generate-coverage-catalog.py. Do not edit by hand.
#
# WSTG-* ids and names come verbatim from the vendored OWASP Web Security
# Testing Guide checklist (skills/engagement-state/data/wstg-checklist.md,
# CC BY-SA 4.0). NET-*/SRC-*/ART-*/PTES-* are Clicky's own additions for
# network-service and methodology coverage WSTG does not address.
#
# id	phase	title
NET-01	recon	Full TCP port scan (all 65535 ports)
NET-02	recon	UDP port scan (top ports minimum)
NET-03	recon	Service version detection on every open port
NET-04	recon	DNS and subdomain enumeration (domain targets)
NET-05	recon	Host and OS fingerprinting
SRC-01	config	Source acquisition (exposed .git/.svn, source maps, package manifests)
SRC-02	config	Dependency vulnerability review of acquired manifests
ART-01	recon	Read the application's own authoritative artifacts (route/build manifests, sitemaps, JS bundles) before wordlist enumeration
PTES-TM-01	modeling	Threat model: enumerate and rank attack paths against the stated objective
PTES-VA-01	analysis	Vulnerability analysis of discovered surface before exploitation
PTES-PE-01	postex	Post-exploitation: pillage, pivot, and persistence assessment
WSTG-INFO-01	recon	Conduct Search Engine Discovery and Reconnaissance for Information Leakage
WSTG-INFO-02	recon	Fingerprint Web Server
WSTG-INFO-03	recon	Review Webserver Metafiles for Information Leakage
WSTG-INFO-04	recon	Enumerate Applications on Webserver
WSTG-INFO-05	recon	Review Webpage Content for Information Leakage
WSTG-INFO-06	recon	Identify Application Entry Points
WSTG-INFO-07	recon	Map Execution Paths Through Application
WSTG-INFO-08	recon	Fingerprint Web Application Framework
WSTG-INFO-09	recon	Fingerprint Web Application
WSTG-INFO-10	recon	Map Application Architecture
WSTG-CONF-01	config	Test Network Infrastructure Configuration
WSTG-CONF-02	config	Test Application Platform Configuration
WSTG-CONF-03	config	Test File Extensions Handling for Sensitive Information
WSTG-CONF-04	config	Review Old Backup and Unreferenced Files for Sensitive Information
WSTG-CONF-05	config	Enumerate Infrastructure and Application Admin Interfaces
WSTG-CONF-06	config	Test HTTP Methods
WSTG-CONF-07	config	Test HTTP Strict Transport Security
WSTG-CONF-08	config	Test RIA Cross Domain Policy
WSTG-CONF-09	config	Test File Permission
WSTG-CONF-10	config	Test for Subdomain Takeover
WSTG-CONF-11	config	Test Cloud Storage
WSTG-CONF-12	config	Testing for Content Security Policy
WSTG-CONF-13	config	Test Path Confusion
WSTG-CONF-14	config	Test Other HTTP Security Header Misconfigurations
WSTG-IDNT-01	identity	Test Role Definitions
WSTG-IDNT-02	identity	Test User Registration Process
WSTG-IDNT-03	identity	Test Account Provisioning Process
WSTG-IDNT-04	identity	Testing for Account Enumeration and Guessable User Account
WSTG-IDNT-05	identity	Testing for Weak or Unenforced Username Policy
WSTG-ATHN-01	auth	Testing for Credentials Transported over an Encrypted Channel
WSTG-ATHN-02	auth	Testing for Default Credentials
WSTG-ATHN-03	auth	Testing for Weak Lock Out Mechanism
WSTG-ATHN-04	auth	Testing for Bypassing Authentication Schema
WSTG-ATHN-05	auth	Testing for Vulnerable Remember Password
WSTG-ATHN-06	auth	Testing for Browser Cache Weakness
WSTG-ATHN-07	auth	Testing for Weak Password Policy
WSTG-ATHN-08	auth	Testing for Weak Security Question Answer
WSTG-ATHN-09	auth	Testing for Weak Password Change or Reset Functionalities
WSTG-ATHN-10	auth	Testing for Weaker Authentication in Alternative Channel
WSTG-ATHN-11	auth	Testing Multi-Factor Authentication (MFA)
WSTG-ATHZ-01	authz	Testing Directory Traversal File Include
WSTG-ATHZ-02	authz	Testing for Bypassing Authorization Schema
WSTG-ATHZ-03	authz	Testing for Privilege Escalation
WSTG-ATHZ-04	authz	Testing for Insecure Direct Object References
WSTG-ATHZ-05	authz	Testing for OAuth Weaknesses
WSTG-SESS-01	session	Testing for Session Management Schema
WSTG-SESS-02	session	Testing for Cookies Attributes
WSTG-SESS-03	session	Testing for Session Fixation
WSTG-SESS-04	session	Testing for Exposed Session Variables
WSTG-SESS-05	session	Testing for Cross Site Request Forgery
WSTG-SESS-06	session	Testing for Logout Functionality
WSTG-SESS-07	session	Testing Session Timeout
WSTG-SESS-08	session	Testing for Session Puzzling
WSTG-SESS-09	session	Testing for Session Hijacking
WSTG-SESS-10	session	Testing JSON Web Tokens
WSTG-SESS-11	session	Testing for Concurrent Sessions
WSTG-INPV-01	input	Testing for Reflected Cross Site Scripting
WSTG-INPV-02	input	Testing for Stored Cross Site Scripting
WSTG-INPV-03	input	Testing for HTTP Verb Tampering
WSTG-INPV-04	input	Testing for HTTP Parameter pollution
WSTG-INPV-05	input	Testing for SQL Injection
WSTG-INPV-06	input	Testing for LDAP Injection
